Dyad,Conv,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1.0,1.0,50.0,50.0,55.0,50.0,36.0
1.0,2.0,45.0,48.333333333333336,48.666666666666664,48.5,41.666666666666664
2.0,1.0,55.0,59.166666666666664,48.333333333333336,63.0,40.0
2.0,2.0,47.5,53.333333333333336,41.666666666666664,51.666666666666664,42.833333333333336
3.0,1.0,46.833333333333336,49.5,40.833333333333336,46.666666666666664,42.5
3.0,2.0,42.5,49.166666666666664,36.166666666666664,48.666666666666664,43.666666666666664
4.0,1.0,47.5,45.0,45.0,50.0,62.5
4.0,2.0,58.333333333333336,49.166666666666664,57.5,61.666666666666664,42.5
5.0,1.0,58.0,60.0,50.0,63.0,45.0
5.0,2.0,56.666666666666664,56.666666666666664,62.0,65.33333333333333,46.333333333333336
6.0,1.0,64.16666666666667,55.0,64.5,64.16666666666667,42.833333333333336
6.0,2.0,58.333333333333336,60.333333333333336,70.83333333333333,63.333333333333336,45.833333333333336
7.0,1.0,56.666666666666664,49.166666666666664,50.0,54.166666666666664,41.666666666666664
7.0,2.0,45.833333333333336,51.666666666666664,56.666666666666664,59.166666666666664,44.166666666666664
8.0,1.0,64.0,60.0,59.333333333333336,65.16666666666667,40.5
8.0,2.0,67.0,60.0,61.166666666666664,65.0,48.833333333333336
9.0,1.0,62.0,55.0,67.5,64.16666666666667,46.666666666666664
9.0,2.0,51.666666666666664,52.5,64.16666666666667,59.166666666666664,40.0
10.0,1.0,55.833333333333336,57.5,47.5,52.666666666666664,39.166666666666664
10.0,2.0,41.666666666666664,54.166666666666664,42.833333333333336,58.333333333333336,41.666666666666664
11.0,1.0,50.833333333333336,57.5,46.666666666666664,60.833333333333336,48.333333333333336
11.0,2.0,38.333333333333336,46.333333333333336,35.833333333333336,48.333333333333336,46.666666666666664
12.0,1.0,60.0,61.666666666666664,67.5,64.16666666666667,54.166666666666664
12.0,2.0,64.5,56.0,64.6,62.0,44.2
13.0,1.0,57.5,54.166666666666664,58.333333333333336,63.0,43.0
13.0,2.0,42.0,55.0,54.0,58.0,50.0
14.0,1.0,53.0,55.0,49.0,65.0,39.0
14.0,2.0,41.666666666666664,55.833333333333336,42.0,56.166666666666664,43.333333333333336
15.0,1.0,48.333333333333336,55.0,40.833333333333336,55.666666666666664,49.666666666666664
15.0,2.0,44.166666666666664,53.333333333333336,39.166666666666664,47.5,45.0
16.0,1.0,65.0,50.0,59.0,63.0,56.0
16.0,2.0,67.33333333333333,62.0,69.16666666666667,66.66666666666667,51.666666666666664
17.0,1.0,53.333333333333336,52.666666666666664,33.333333333333336,50.833333333333336,47.5
17.0,2.0,46.166666666666664,53.666666666666664,34.166666666666664,53.666666666666664,48.333333333333336
18.0,1.0,40.0,50.0,42.5,55.166666666666664,45.333333333333336
18.0,2.0,57.5,55.833333333333336,57.5,58.333333333333336,46.666666666666664
19.0,1.0,52.0,56.666666666666664,57.5,60.833333333333336,38.333333333333336
19.0,2.0,58.333333333333336,54.166666666666664,55.0,51.666666666666664,42.5
20.0,1.0,43.333333333333336,50.0,39.166666666666664,49.166666666666664,47.5
20.0,2.0,50.0,49.166666666666664,40.0,48.333333333333336,42.5
21.0,1.0,38.5,50.8,42.2,54.8,53.0
21.0,2.0,45.833333333333336,55.833333333333336,47.5,50.0,45.833333333333336
22.0,1.0,56.666666666666664,50.0,65.0,52.5,40.833333333333336
22.0,2.0,45.0,50.833333333333336,55.0,56.0,47.0
23.0,1.0,50.166666666666664,43.166666666666664,35.833333333333336,44.166666666666664,56.0
23.0,2.0,57.0,55.0,54.0,57.0,47.0
24.0,1.0,58.5,60.166666666666664,64.33333333333333,60.0,44.833333333333336
24.0,2.0,49.166666666666664,60.333333333333336,62.5,60.0,44.166666666666664
25.0,1.0,47.666666666666664,50.833333333333336,55.833333333333336,58.333333333333336,44.333333333333336
25.0,2.0,48.333333333333336,53.333333333333336,51.666666666666664,58.333333333333336,41.666666666666664
26.0,1.0,56.0,59.166666666666664,45.833333333333336,58.333333333333336,46.666666666666664
26.0,2.0,43.333333333333336,48.0,43.833333333333336,47.833333333333336,42.5
27.0,1.0,44.166666666666664,51.0,42.5,48.333333333333336,45.0
27.0,2.0,40.5,52.333333333333336,41.0,48.333333333333336,41.666666666666664
28.0,1.0,55.0,56.5,65.0,63.333333333333336,50.0
28.0,2.0,49.166666666666664,53.333333333333336,65.83333333333333,57.5,49.166666666666664
29.0,1.0,50.833333333333336,46.666666666666664,37.5,46.666666666666664,38.333333333333336
29.0,2.0,51.666666666666664,52.5,36.666666666666664,49.166666666666664,44.5
30.0,1.0,52.0,52.0,64.0,53.0,44.0
30.0,2.0,56.666666666666664,61.166666666666664,70.0,65.0,45.0
31.0,1.0,47.5,45.833333333333336,50.833333333333336,52.5,39.166666666666664
31.0,2.0,44.5,51.166666666666664,52.333333333333336,53.333333333333336,47.5
32.0,1.0,65.83333333333333,57.833333333333336,55.833333333333336,57.5,52.5
32.0,2.0,57.0,62.0,57.0,61.0,50.0
33.0,1.0,58.666666666666664,60.0,50.833333333333336,60.0,50.0
33.0,2.0,45.5,51.666666666666664,40.0,52.5,47.5
34.0,1.0,59.166666666666664,65.0,65.0,59.166666666666664,49.166666666666664
34.0,2.0,54.166666666666664,54.166666666666664,52.5,56.166666666666664,45.0
35.0,1.0,64.16666666666667,63.333333333333336,57.5,60.0,54.166666666666664
35.0,2.0,60.666666666666664,63.333333333333336,62.5,60.0,54.166666666666664
36.0,1.0,46.166666666666664,46.666666666666664,46.666666666666664,47.5,47.0
36.0,2.0,48.0,50.4,51.666666666666664,54.166666666666664,49.166666666666664
37.0,1.0,59.166666666666664,49.166666666666664,62.0,60.833333333333336,44.166666666666664
37.0,2.0,55.0,45.833333333333336,53.333333333333336,60.666666666666664,55.0
38.0,1.0,52.5,51.666666666666664,50.833333333333336,55.833333333333336,36.666666666666664
38.0,2.0,60.833333333333336,52.833333333333336,48.0,54.166666666666664,38.333333333333336
39.0,1.0,48.333333333333336,51.666666666666664,41.666666666666664,52.5,41.666666666666664
39.0,2.0,59.5,51.166666666666664,58.333333333333336,61.666666666666664,45.833333333333336
40.0,1.0,45.0,40.0,50.833333333333336,54.166666666666664,42.5
40.0,2.0,48.333333333333336,52.5,59.166666666666664,63.333333333333336,47.5
41.0,1.0,53.0,55.0,47.166666666666664,53.5,48.333333333333336
41.0,2.0,46.666666666666664,51.666666666666664,41.666666666666664,51.666666666666664,37.5
42.0,1.0,44.0,40.833333333333336,40.833333333333336,44.166666666666664,34.166666666666664
42.0,2.0,47.0,47.5,47.5,55.333333333333336,38.666666666666664
43.0,1.0,55.833333333333336,47.5,53.333333333333336,60.833333333333336,38.333333333333336
43.0,2.0,51.666666666666664,52.5,59.166666666666664,63.166666666666664,51.666666666666664
44.0,1.0,56.666666666666664,59.0,59.166666666666664,66.5,52.5
44.0,2.0,54.166666666666664,55.0,59.166666666666664,64.16666666666667,50.0
45.0,1.0,57.5,58.333333333333336,53.333333333333336,58.333333333333336,54.166666666666664
45.0,2.0,53.75,56.25,63.75,68.75,43.75
46.0,1.0,45.0,48.333333333333336,38.333333333333336,50.833333333333336,48.333333333333336
46.0,2.0,52.5,55.0,38.333333333333336,55.0,45.0
47.0,1.0,54.166666666666664,55.0,54.166666666666664,57.5,55.0
47.0,2.0,56.0,59.0,55.0,63.0,49.0
48.0,1.0,60.0,60.0,61.0,62.0,55.0
48.0,2.0,58.0,54.4,50.0,54.0,47.0
49.0,1.0,57.5,55.0,49.166666666666664,62.5,47.5
49.0,2.0,53.666666666666664,54.0,55.0,55.0,53.0
50.0,1.0,59.166666666666664,51.666666666666664,65.83333333333333,61.666666666666664,47.5
50.0,2.0,45.833333333333336,46.166666666666664,45.0,49.166666666666664,46.666666666666664
51.0,1.0,59.166666666666664,60.833333333333336,50.0,56.666666666666664,52.5
51.0,2.0,49.166666666666664,58.333333333333336,54.166666666666664,68.33333333333333,45.833333333333336
52.0,1.0,61.666666666666664,53.333333333333336,66.66666666666667,64.16666666666667,42.5
52.0,2.0,64.16666666666667,58.333333333333336,64.16666666666667,63.333333333333336,54.166666666666664
53.0,1.0,46.0,54.0,49.0,55.0,57.0
53.0,2.0,54.166666666666664,57.5,54.5,54.166666666666664,47.833333333333336
54.0,1.0,48.333333333333336,45.833333333333336,40.833333333333336,45.833333333333336,39.166666666666664
54.0,2.0,58.666666666666664,53.666666666666664,51.666666666666664,50.833333333333336,36.666666666666664
55.0,1.0,41.0,46.0,46.0,53.333333333333336,51.666666666666664
55.0,2.0,47.5,54.166666666666664,49.5,57.5,50.333333333333336
56.0,1.0,60.0,54.166666666666664,64.16666666666667,65.0,38.333333333333336
56.0,2.0,53.333333333333336,45.833333333333336,53.666666666666664,54.166666666666664,41.666666666666664
57.0,1.0,65.0,59.166666666666664,62.5,67.5,51.666666666666664
57.0,2.0,56.166666666666664,55.0,57.5,62.0,47.5
58.0,1.0,54.166666666666664,56.666666666666664,46.666666666666664,58.333333333333336,50.833333333333336
58.0,2.0,48.0,54.166666666666664,45.0,51.666666666666664,51.666666666666664
59.0,1.0,46.0,55.0,44.333333333333336,57.5,49.166666666666664
59.0,2.0,56.4,54.8,50.0,53.2,39.0
60.0,1.0,58.5,53.5,53.5,57.5,41.666666666666664
60.0,2.0,41.0,47.0,50.0,55.0,44.0
61.0,1.0,62.0,58.0,57.0,60.2,49.0
61.0,2.0,48.333333333333336,57.666666666666664,53.5,59.333333333333336,49.333333333333336
62.0,1.0,62.0,53.333333333333336,64.0,61.666666666666664,45.833333333333336
62.0,2.0,56.166666666666664,54.0,71.66666666666667,60.666666666666664,47.333333333333336
63.0,1.0,50.0,55.833333333333336,50.833333333333336,60.833333333333336,40.833333333333336
63.0,2.0,50.0,58.333333333333336,56.666666666666664,59.166666666666664,35.833333333333336
64.0,1.0,54.166666666666664,53.333333333333336,60.0,61.666666666666664,46.666666666666664
64.0,2.0,50.833333333333336,51.166666666666664,50.833333333333336,56.666666666666664,44.166666666666664
65.0,1.0,44.166666666666664,51.666666666666664,40.833333333333336,54.166666666666664,45.0
65.0,2.0,48.333333333333336,53.333333333333336,51.666666666666664,56.666666666666664,44.166666666666664
66.0,1.0,47.666666666666664,50.0,46.666666666666664,52.5,44.166666666666664
66.0,2.0,50.0,53.333333333333336,51.666666666666664,52.5,43.333333333333336
67.0,1.0,60.0,57.5,45.0,57.5,46.666666666666664
67.0,2.0,56.666666666666664,52.5,45.833333333333336,57.5,42.5
68.0,1.0,47.5,53.333333333333336,45.0,53.333333333333336,43.333333333333336
68.0,2.0,45.0,56.666666666666664,38.666666666666664,56.166666666666664,45.833333333333336
69.0,1.0,47.5,55.833333333333336,49.166666666666664,54.166666666666664,43.333333333333336
69.0,2.0,51.0,55.0,47.0,57.0,42.0
70.0,1.0,57.0,50.0,54.0,55.0,45.0
70.0,2.0,57.4,52.0,53.0,57.6,47.0
71.0,1.0,56.833333333333336,55.833333333333336,64.2,64.16666666666667,43.333333333333336
71.0,2.0,50.833333333333336,59.166666666666664,60.333333333333336,55.833333333333336,43.333333333333336
72.0,1.0,51.666666666666664,55.166666666666664,59.166666666666664,60.0,41.666666666666664
72.0,2.0,51.666666666666664,55.833333333333336,47.5,60.0,50.833333333333336
73.0,1.0,40.0,51.833333333333336,39.166666666666664,47.5,46.666666666666664
73.0,2.0,50.833333333333336,59.166666666666664,40.833333333333336,53.333333333333336,45.833333333333336
74.0,1.0,55.833333333333336,59.166666666666664,56.666666666666664,64.33333333333333,45.833333333333336
74.0,2.0,55.833333333333336,53.333333333333336,51.666666666666664,58.333333333333336,51.666666666666664
75.0,1.0,44.5,55.833333333333336,52.0,57.5,48.5
75.0,2.0,50.833333333333336,57.5,44.166666666666664,55.0,44.166666666666664
76.0,1.0,54.166666666666664,55.833333333333336,48.333333333333336,59.166666666666664,52.5
76.0,2.0,62.5,58.333333333333336,56.166666666666664,63.166666666666664,47.5
77.0,1.0,62.0,57.0,64.16666666666667,65.0,53.0
77.0,2.0,53.0,55.0,55.0,58.666666666666664,40.833333333333336
78.0,1.0,58.333333333333336,58.666666666666664,62.5,62.5,41.666666666666664
78.0,2.0,48.333333333333336,50.0,45.0,49.166666666666664,48.333333333333336
79.0,1.0,50.0,50.833333333333336,40.0,50.0,46.666666666666664
79.0,2.0,49.166666666666664,52.5,46.166666666666664,55.333333333333336,47.5
80.0,1.0,54.333333333333336,49.166666666666664,60.833333333333336,55.0,50.0
80.0,2.0,51.666666666666664,52.0,51.666666666666664,52.0,46.666666666666664
