correlation ,,n= 60,,,,,,,,,p-value,,,,,,,,
,around,monitor,keyboard,face,comp_only,no_face,body_only,s_speak,,,,around,monitor,keyboard,face,comp_only,no_face,body_only,s_speak
hhogan,0.004209046,-0.086789361,0.130281617,-0.033858357,0.033262956,0.033858357,-0.10190495,0.375328363,,,hhogan,0.974537909,0.509657204,0.321116953,0.797315962,0.800806457,0.797315962,0.438476989,0.00312691
hboredom,0.100697082,0.042289368,-0.030117157,-0.117109565,0.011646832,0.117109565,-0.085714101,-0.066487441,,,hboredom,0.443951801,0.748343167,0.819311308,0.372866879,0.929621434,0.372866879,0.514935484,0.613745082
hsdesirability,0.018626047,-0.025696214,0.108538317,-0.080077065,0.068259525,0.080077065,-0.101147436,0.192304453,,,hsdesirability,0.88766934,0.845481338,0.409092762,0.543052095,0.604305762,0.543052095,0.441906086,0.141013529
shogan,-0.428860262,0.015966159,0.361028707,0.176306735,0.315299049,-0.176306735,0.191066866,-0.008606832,,,shogan,0.000628806,0.903628135,0.004597647,0.177812583,0.014132993,0.177812583,0.143638567,0.947961431
sboredom,0.304356868,0.184924333,-0.374545845,-0.188701553,-0.151815264,0.188701553,-0.047151381,0.22258929,,,sboredom,0.018062394,0.157209775,0.003194998,0.148756884,0.24688641,0.148756884,0.72053111,0.087373566
ssdesirability,-0.066331483,0.075853577,0.020029127,-0.002726807,0.082711891,0.002726807,0.056319633,-0.077609896,,,ssdesirability,0.614578845,0.564594715,0.879268568,0.983502947,0.529817848,0.983502947,0.669078856,0.555587818
hpabad,0.122265926,0.00990308,-0.182795113,-0.002454947,-0.143993218,0.002454947,0.005226206,-0.063930483,,,hpabad,0.352038165,0.940137466,0.162128228,0.985147492,0.272363482,0.985147492,0.968387561,0.627475461
hpabad2,-0.031153243,0.002601497,-0.142348378,0.136063234,-0.116577956,-0.136063234,0.139883132,-0.097764992,,,hpabad2,0.813205273,0.984260968,0.277936069,0.29992189,0.375055715,0.29992189,0.286428744,0.457398713
hpagood,-0.344747365,-0.000412652,0.089034237,0.300334577,0.073972262,-0.300334577,0.303972186,0.049401736,,,hpagood,0.006986967,0.997503306,0.498727049,0.019724271,0.574317851,0.019724271,0.018215988,0.707776866
hpagood2,-0.247296424,-0.008716479,0.053029437,0.229906377,0.036689159,-0.229906377,0.226147743,0.17966416,,,hpagood2,0.056785506,0.947299422,0.687384696,0.077204679,0.78077562,0.077204679,0.082304115,0.169564715
spabad,0.209146561,0.040191658,-0.206979801,-0.100059105,-0.137833925,0.100059105,-0.070072788,0.049466423,,,spabad,0.108768041,0.760444245,0.112565083,0.44685878,0.293616747,0.44685878,0.59471337,0.7074114
spabad2,0.177932517,0.002815534,-0.189210265,-0.051323644,-0.155514935,0.051323644,-0.049807174,0.078571319,,,spabad2,0.173783082,0.982966229,0.147644793,0.696946849,0.235421629,0.696946849,0.705487327,0.550686486
spagood,-0.247729438,0.13188226,0.271001805,-0.038529287,0.340982597,0.038529287,0.063685969,-0.040698949,,,spagood,0.056339316,0.315155973,0.036226128,0.770074857,0.007673808,0.770074857,0.628795159,0.757512472
spagood2,-0.175215215,0.143569579,0.254253043,-0.11207959,0.337167319,0.11207959,-0.00173062,-0.075518413,,,spagood2,0.180555651,0.273791564,0.049954571,0.39388508,0.008429261,0.39388508,0.989529395,0.56632127
rapcomp2,-0.058685401,0.024888264,0.105050608,-0.033907856,0.108875458,0.033907856,-0.015075274,0.09817248,,,rapcomp2,0.65884583,0.851575167,0.428454656,0.798760308,0.411737909,0.798760308,0.909773535,0.459462346
