"","Dyad","Effort","Irritated","Patient","Interested","Responsible","Responsive","Pat_Resposoble"
"1",1,0,2,6,3,3,6,9
"2",2,2,4,2,5,2,4,4
"3",3,2,3,5,6,3,5,8
"4",4,1,0,6,6,2,6,8
"5",5,1,0,6,4,0,6,6
"6",6,2,2,5,6,3,4,8
"7",7,4,2,5,4,3,4,8
"8",8,4,0,5,4,3,3,8
"9",9,4,0,4,4,4,6,8
"10",10,1,0,6,6,2,6,8
"11",11,2,2,6,5,2,5,8
"12",12,1,2,6,5,4,6,10
"13",13,4,2,4,4,4,5,8
"14",14,NA,1,3,2,2,3,5
"15",15,1,4,4,4,3,5,7
"16",16,0,0,6,6,2,6,8
"17",17,4,0,6,6,4,5,10
"18",18,1,4,6,6,3,6,9
"19",19,3,0,6,4,3,6,9
"20",20,2,0,5,5,0,5,5
"21",21,2,2,6,6,2,6,8
"22",22,3,4,4,5,4,3,8
"23",23,3,0,6,6,2,6,8
"24",24,2,3,5,5,4,3,9
"25",25,1,3,3,2,3,3,6
"26",26,2,3,3,1,2,5,5
"27",27,1,1,1,1,1,1,2
"28",28,2,4,2,4,2,5,4
"29",29,3,1,3,3,0,3,3
"30",30,2,0,2,4,4,4,6
"31",31,3,0,5,3,1,4,6
"32",32,4,1,1,1,2,1,3
"33",33,1,0,5,2,1,5,6
"34",34,0,3,1,4,3,0,4
"35",35,2,0,4,4,4,6,8
"36",36,2,1,2,4,2,3,4
"37",37,4,4,4,2,4,3,8
"38",38,1,0,5,4,1,4,6
"39",39,3,0,3,3,2,3,5
"40",40,0,1,6,6,0,6,6
"41",41,3,0,6,6,4,6,10
"42",42,1,2,4,3,2,3,6
"43",43,3,4,6,5,2,5,8
"44",44,3,0,5,4,4,5,9
"45",45,1,1,5,6,3,5,8
"46",46,0,0,6,5,2,5,8
"47",47,3,0,6,5,1,6,7
"48",48,0,1,6,5,2,5,8
"49",49,0,0,6,5,2,6,8
"50",50,3,3,2,4,2,4,4
"51",51,2,0,6,4,3,5,9
"52",52,1,0,5,6,4,5,9
"53",53,2,3,6,5,4,6,10
"54",54,0,0,6,6,2,6,8
"55",55,2,0,6,6,4,5,10
"56",56,2,1,6,4,2,4,8
"57",57,1,1,5,3,3,5,8
"58",58,2,0,5,4,1,4,6
"59",59,0,0,6,4,4,3,10
"60",60,1,1,5,5,3,4,8
"61",61,1,0,6,6,1,6,7
"62",62,3,3,6,5,3,6,9
"63",63,2,0,5,4,3,2,8
"64",64,1,0,6,6,2,6,8
"65",65,2,4,5,3,4,5,9
"66",66,4,5,6,6,4,6,10
"67",67,0,0,2,3,2,4,4
"68",68,2,4,6,4,4,6,10
"69",69,0,0,6,6,2,6,8
"70",70,0,0,6,6,0,6,6
"71",71,2,1,4,4,4,6,8
"72",72,0,2,4,6,1,4,5
"73",73,1,0,5,4,1,5,6
"74",74,1,4,5,3,3,2,8
"75",75,1,0,6,6,4,6,10
"76",76,3,1,2,3,3,3,5
"77",77,1,0,6,5,2,5,8
"78",78,1,0,4,5,4,5,8
"79",79,1,2,5,5,3,5,8
"80",80,2,2,3,3,2,4,5
